date,hour,patients,specialty,temperature,aqi,rainfall,holiday,revisit,doctors,counters,beds_occ
2026-06-01,10,125,general medicine,35.2,165.0,2.0,0,15.0,5,3,72
2026-06-02,10,130,general medicine,36.0,170.0,0.0,0,14.5,5,3,75
2026-06-03,10,128,general medicine,37.5,180.0,0.0,0,16.0,5,3,74
2026-06-04,10,132,general medicine,38.1,195.0,0.0,0,15.2,5,3,78
2026-06-05,10,140,general medicine,40.2,210.0,0.0,0,18.0,5,3,82
2026-06-06,10,110,general medicine,39.0,190.0,0.0,0,12.0,5,3,70
2026-06-07,10,95,general medicine,38.5,175.0,0.0,1,10.0,5,3,65
2026-06-08,10,145,general medicine,41.0,225.0,0.0,0,20.0,5,3,88
2026-06-09,10,150,general medicine,42.1,240.0,0.0,0,22.0,5,3,92
2026-06-10,10,148,general medicine,41.5,230.0,0.0,0,21.0,5,3,90
2026-06-11,10,135,general medicine,39.8,205.0,10.0,0,17.0,5,3,80
2026-06-12,10,120,general medicine,36.5,160.0,35.0,0,13.0,5,3,72
2026-06-13,10,105,general medicine,34.0,140.0,55.0,0,11.0,5,3,68
2026-06-14,10,90,general medicine,33.0,130.0,20.0,1,9.0,5,3,60
2026-06-15,10,138,general medicine,37.0,185.0,0.0,0,16.5,5,3,79
